OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species,counts,rel_abund (%)
323862,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,784,0.784
587269,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,755,0.755
577170,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,2,0.002
584375,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,adolescentis,3814,3.814
513445,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5389,5.389
696563,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,799,0.799
1082539,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,9241,9.241
730437,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA,3074,3.074
554303,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,812,0.812
591907,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus,4,0.004
805055,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,757,0.757
797229,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,2,0.002
589852,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,804,0.804
197105,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,[Eubacterium],biforme,2,0.002
585480,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,NA,879,0.879
9710,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,2,0.002
572750,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,5478,5.478
185659,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus,NA,2216,2.216
4454586,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Odoribacteraceae],Odoribacter,NA,3132,3.132
198190,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,1662,1.662
843553,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,NA,3799,3.799
772282,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,757,0.757
3829957,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,1521,1.521
187324,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,770,0.77
305946,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,3131,3.131
583117,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,746,0.746
338644,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Adlercreutzia,NA,741,0.741
470382,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA,773,0.773
606927,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA,2355,2.355
2200896,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,727,0.727
825808,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,2363,2.363
538000,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,2,0.002
101860,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,NA,746,0.746
